,state,avg_pm25,water_violation_rate,food_env_index,exercise_access,healthy_food_access
2,Alabama,9.3,13.43,5.3,60.93,8.76
70,Alaska,7.55,55.17,6.8,75.71,7.87
100,Arizona,4.8,80.0,6.4,86.16,8.68
116,Arkansas,8.9,33.33,4.8,62.97,10.02
192,California,7.1,63.79,8.8,94.59,3.23
251,Colorado,4.45,50.0,8.5,90.4,5.04
316,Connecticut,7.4,75.0,8.1,93.46,4.27
325,Delaware,7.6,66.67,7.6,81.27,6.3
329,District of Columbia,8.9,100.0,8.7,100.0,1.61
331,Florida,7.8,49.25,6.9,88.23,7.59
399,Georgia,9.4,16.98,6.1,74.64,10.02
559,Hawaii,3.6,,7.9,93.66,5.36
565,Idaho,5.15,38.64,7.5,74.72,7.92
610,Illinois,8.8,34.31,8.5,90.36,4.83
713,Indiana,8.8,23.91,6.5,76.79,8.65
806,Iowa,7.4,8.08,8.6,79.28,5.67
906,Kansas,6.7,40.95,7,79.66,8.44
1012,Kentucky,8.2,15.83,6.5,69.94,6.39
1133,Louisiana,8.6,71.88,5.0,75.83,10.66
1198,Maine,5.4,68.75,8.2,65.69,3.54
1215,Maryland,7.35,25.0,8.7,92.1,3.56
1240,Massachusetts,6.75,35.71,9.2,94.72,3.93
1255,Michigan,6.8,18.07,7.0,85.16,6.38
1339,Minnesota,6.1,17.24,9.0,86.0,5.69
1427,Mississippi,9.0,21.95,3.9,57.46,11.37
1510,Missouri,7.6,29.57,6.8,75.75,7.24
1626,Montana,4.6,28.57,7.7,72.8,7.25
1683,Nebraska,5.8,24.73,7.8,83.14,5.65
1777,Nevada,4.2,41.18,7.2,91.5,6.15
1795,New Hampshire,5.25,0.0,9.1,84.15,4.23
1806,New Jersey,7.8,90.48,9.2,96.13,3.65
1828,New Mexico,4.5,60.61,4.5,74.29,13.04
1862,New York,6.9,45.16,8.9,93.16,2.38
1925,North Carolina,7.75,18.0,6.5,74.53,7.5
2026,North Dakota,5.0,3.77,9.1,72.52,6.86
2080,Ohio,8.9,19.32,6.8,83.79,6.87
2169,Oklahoma,8.7,72.73,5.8,71.3,8.87
2247,Oregon,7.7,44.44,8.1,87.88,4.67
2284,Pennsylvania,8.5,77.61,8.4,85.82,4.59
2352,Rhode Island,5.9,20.0,8.6,95.54,4.67
2358,South Carolina,8.3,28.26,6.6,70.32,9.75
2405,South Dakota,4.8,22.73,7.3,70.56,8.48
2472,Tennessee,7.6,6.32,6.1,67.57,8.87
2568,Texas,8.55,52.36,5.9,81.74,8.35
2823,Utah,4.7,37.93,7.9,84.16,5.79
2853,Vermont,5.85,35.71,8.9,70.58,2.97
2868,Virginia,7.3,16.84,8.9,83.36,4.44
3002,Washington,7.1,35.9,8.4,85.95,5.08
3042,West Virginia,7.3,45.45,6.5,57.83,7.5
3098,Wisconsin,7.8,40.28,8.8,83.53,5.0
3171,Wyoming,3.6,47.83,7.0,77.55,7.96
